Date,open,high,low,close,adj_close,volume,llt,llt_slope,garch_volitility,bolinger_upper,bolinger_lower,bolinger_upper_smooth,bolinger_lower_smooth,upper_max,lower_min,upper_retrace,lower_retrace,upper_deviation,lower_deviation,upper_rise,lower_down,upper_down,lower_rise,middle,Bull,Bear,strategy_ret
2022-01-03,18260.23046875,18379.689453125,18238.470703125,18270.509765625,18270.509765625,4309600,18270.509765625,-4886.640106468218,1205.2002767782428,19475.710042403243,17065.309488846757,19475.710042403243,17065.309488846757,,,,,0.06596423921601596,0.06596423921601596,True,True,False,False,18270.509765625,False,False,0.0
2022-01-04,18395.140625,18526.349609375,18395.140625,18526.349609375,18526.349609375,4231400,18296.09375,25.583984375,1714.0982521686853,20010.192002168686,16581.995497831314,19756.313071280103,16811.56964356365,,,,,0.08009361930872815,0.10495074056897709,True,True,False,False,17541.039704594325,False,False,0.0
2022-01-05,18598.130859375,18619.609375,18446.51953125,18499.9609375,18499.9609375,4261600,18340.211625976564,44.11787597656439,1738.0020242737803,20078.213650250345,16602.209601702783,19874.513034082665,16734.693891306662,,,,,0.08531113757927876,0.10258136988551231,True,True,False,False,17272.25776683177,True,False,0.0
2022-01-06,18395.720703125,18427.150390625,18253.8203125,18367.919921875,18367.919921875,3411400,18362.229647460947,22.01802148438219,1779.2527370079908,20141.482384468938,16582.976910452955,19951.582957833514,16690.89554468303,,,,,0.09655761077669663,0.09717719910659528,True,True,False,False,17126.91721129459,True,False,-1512.109375
2022-01-07,18388.16015625,18444.119140625,18134.41015625,18169.759765625,18169.759765625,4727900,18348.586738427748,-13.64290903319852,1799.8534784185051,20148.440216846255,16548.73326000924,19999.201053569785,16656.507697795223,,,,,0.1088996484678174,0.08921562676258085,True,True,False,False,17032.835308594716,True,False,-60066.015625
2022-01-10,18095.390625,18243.259765625,18043.970703125,18239.380859375,18239.380859375,3440300,18324.20595457033,-24.380783857417555,1787.0877100084645,20111.293664578796,16537.118244561865,20022.84747439334,16631.321976563133,,,,,0.10263028222482876,0.09332896921981734,True,True,False,False,17531.170669561154,True,False,-25836.328125
2022-01-11,18266.5390625,18293.529296875,18135.4296875,18288.2109375,18288.2109375,4694000,18314.810152482936,-9.395802087394259,1764.2829528888046,20079.09310537174,16550.527199594133,20033.482131030167,16616.04568405529,,,,,0.09792549823446826,0.0950166062631498,True,True,False,False,17888.6437354853,True,False,-9466.015625
2022-01-12,18348.390625,18394.69921875,18255.380859375,18375.400390625,18375.400390625,4196200,18319.95131454857,5.14116206563267,1755.49750556604,20075.44882011461,16564.45380898253,20040.736284112212,16607.127769210623,,,,,0.09251762646526937,0.09855276854627902,True,True,False,False,18157.655304063665,True,False,-7901.953125
2022-01-13,18356.2109375,18459.73046875,18346.810546875,18436.9296875,18436.9296875,4599500,18338.734277441872,18.782962893303193,1760.3044866482624,20099.038764090135,16578.42979079361,20050.0882869859,16602.524473146263,,,,,0.0901510774712681,0.10080311246001171,True,True,False,False,17984.86298951729,True,False,22655.859375
2022-01-14,18509.0,18509.0,18213.439453125,18403.330078125,18403.330078125,4559700,18357.345929532905,18.611652091032738,1777.8708019570304,20135.216731489934,16579.475127575875,20062.907893104355,16599.05344142212,,,,,0.09410724287467573,0.09910461545853802,True,True,False,False,17846.282034707772,True,False,23285.9375
2022-01-17,18512.150390625,18535.419921875,18435.01953125,18525.439453125,18525.439453125,3172100,18381.678909407878,24.332979874972807,1795.283362044646,20176.962271452525,16586.39554736323,20079.182634553137,16597.24725076045,,,,,0.08914891452407271,0.10466925282221459,True,True,False,False,17732.733417985288,True,False,19417.96875
2022-01-18,18492.810546875,18575.41015625,18378.640625,18378.640625,18378.640625,3163500,18399.808459989094,18.12955058121588,1818.058032137947,20217.86649212704,16581.750427851148,20098.0752805601,16595.136147171466,,,,,0.10007409713562747,0.09777057149181033,True,True,False,False,17637.93364541747,True,False,-24108.203125
2022-01-19,18275.1796875,18359.140625,18199.349609375,18227.4609375,18227.4609375,3422100,18385.962806477182,-13.845653511911223,1835.0332491568813,20220.996055634063,16550.9295573203,20114.161188598053,16589.351094656224,,,,,0.10936987466162622,0.0919783279705464,True,True,False,False,17557.273449205066,True,False,-36692.1875
2022-01-20,18212.259765625,18292.140625,18125.19921875,18218.279296875,18218.279296875,3209300,18358.283477388075,-27.67932908910734,1822.0686587708567,20180.35213615893,16536.21481861722,20122.525226109956,16582.63667489929,,,,,0.10769803269074299,0.092328394512335,True,True,False,False,17487.656536754654,True,False,-56356.25
2022-01-21,18113.939453125,18113.939453125,17851.390625,17899.30078125,17899.30078125,4160500,18302.513471989518,-55.77000539855726,1796.1606732522355,20098.674145241752,16506.352798737284,20119.60232262513,16573.28823452035,,,,,0.12287482013239616,0.07782136294239309,True,True,False,False,17663.119589146016,False,True,-110478.125
2022-01-24,17843.330078125,18004.44921875,17682.330078125,17989.0390625,17989.0390625,3586500,18232.551610435854,-69.96186155366377,1744.0021969812647,19976.55380741712,16488.549413454588,20102.53803088666,16563.179720201708,,,,,0.11048476452865671,0.08341132863363096,True,True,False,False,17594.373347336998,False,True,-110478.125
2022-01-25,17890.7109375,17890.7109375,17645.66015625,17701.119140625,17701.119140625,3506500,18153.67597573084,-78.87563470501482,1678.658124201695,19832.334099932534,16475.017851529145,20071.062395604313,16552.909881364245,,,,,0.12040001213348614,0.06926687964502135,True,True,False,False,17533.11079051507,False,True,-110478.125
2022-01-26,17657.970703125,17776.419921875,17633.029296875,17674.400390625,17674.400390625,2897700,18056.02347237028,-97.6525033605576,1605.1189010577195,19661.142373428,16450.904571312563,20024.305060010127,16541.274693385003,,,,,0.11240788591939015,0.06922417690398218,True,True,False,False,17478.008785118956,False,True,-110478.125
2022-02-07,17750.69921875,17900.30078125,17712.349609375,17900.30078125,17900.30078125,0,17992.662517541718,-63.36095482856399,1514.293498845069,19506.956016386786,16478.36901869665,19966.384324414314,16534.23197629485,,,,,0.0897557675019465,0.07943619383439522,True,True,False,False,17428.336321496634,False,True,-110478.125
