Date,open,high,low,close,adj_close,volume,llt,llt_slope,garch_volitility,bolinger_upper,bolinger_lower,bolinger_upper_smooth,bolinger_lower_smooth,middle,upper_max,lower_min,upper_retrace,lower_retrace,upper_deviation,lower_deviation,upper_rise,lower_down,upper_down,lower_rise,Bull,Bear,Consolidation,strategy_ret
2020-10-27,12867.76953125,12884.3203125,12821.0703125,12875.009765625,12875.009765625,3583700,12875.009765625,-9173.438732121074,3307.872482413262,16182.882248038262,9567.137283211738,16182.882248038262,9567.137283211738,12875.009765625,,,,,0.25692193968232585,0.25692193968232585,True,True,False,False,False,False,False,0.0
2020-10-28,12853.759765625,12879.98046875,12761.330078125,12793.75,12793.75,3657900,12834.3798828125,-40.6298828125,3861.4342167006225,16695.81409951312,8972.945666111878,16452.171470062563,9255.186684234312,14663.590617843782,,,,,0.3008664424739183,0.3008664424739183,True,True,False,False,False,False,False,0.0
2020-10-29,12687.6396484375,12699.8203125,12583.3701171875,12662.91015625,12662.91015625,3741600,12731.428833007812,-102.9510498046875,3899.582982406902,16631.011815414713,8831.84585060091,16517.84057272726,9099.738468054187,15281.673936138273,,,,,0.30629578451530487,0.30629578451530504,True,True,False,False,False,True,False,0.0
2020-10-30,12651.349609375,12656.2900390625,12546.33984375,12546.33984375,12546.33984375,3918600,12596.674438476562,-134.75439453125,3996.2570599064775,16592.93149838304,8600.417378570084,16539.518161957254,8955.592189696572,15596.134992593019,,,,,0.31724699081687024,0.31724699081687024,True,True,False,False,False,True,False,17205.859375
2020-11-02,12565.3203125,12594.33984375,12480.66015625,12591.3095703125,12591.3095703125,2950900,12533.648223876953,-63.026214599609375,4122.815447118767,16656.46367099572,8410.832776758187,16567.80628540898,8823.819523508757,15790.469251156212,,,,,0.32893977662981533,0.32893977662981533,True,True,False,False,False,True,False,2013.8671875
2020-11-03,12641.2802734375,12760.1396484375,12641.2802734375,12736.009765625,12736.009765625,2946900,12609.666381835938,76.01815795898438,4182.015560858968,16791.681942694904,8427.65082097697,16615.03382303773,8740.246023231963,15927.896679803132,,,,,0.3316515627156565,0.3316515627156565,True,True,False,False,False,True,False,-23102.1484375
2020-11-04,12766.8603515625,12885.2802734375,12736.01953125,12867.900390625,12867.900390625,3335500,12763.177726745605,153.51134490966797,4110.612758989497,16873.790485735102,8652.564967756109,16663.958303257972,8723.667705906331,14898.72111210359,,,,,0.32206812809443136,0.32206812809443136,True,True,False,False,False,True,False,-45332.03125
2020-11-05,12878.009765625,12918.7998046875,12840.400390625,12918.7998046875,12918.7998046875,2946300,12891.220542907715,128.04281616210938,3966.442441392214,16857.66298429993,8924.778101515501,16697.44113070142,8758.430648324884,15123.56111442832,,,,,0.3076855622933553,0.3076855622933553,True,True,False,False,True,False,False,-60228.125
2020-11-06,12952.490234375,12999.16015625,12927.2998046875,12973.5302734375,12973.5302734375,3215100,12969.976709365845,78.75616645812988,3846.214010967236,16816.19072033308,9123.762698398608,16716.48914553552,8817.03169554334,15300.553117884676,,,,,0.29654748787558105,0.29654748787558105,True,True,False,False,True,False,False,-60228.125
2020-11-09,13053.98046875,13149.900390625,13048.669921875,13127.4697265625,13127.4697265625,3696600,13075.005924224854,105.02921485900879,3772.275661541114,16847.281585765966,9302.730262683739,16736.18535373942,8890.173691257143,15444.11634147015,,,,,0.28851043612546207,0.2885104361254622,True,True,False,False,True,False,False,-60228.125
2020-11-10,13090.650390625,13142.2197265625,13022.919921875,13081.7197265625,13081.7197265625,4774300,13142.46963262558,67.46370840072632,3673.6860359231464,16816.155668548727,9468.783596702433,16747.596543874763,8972.737173231337,15562.614541688752,,,,,0.2795278314209218,0.2795278314209218,True,True,False,False,True,False,False,-60228.125
2020-11-11,13067.0400390625,13262.1904296875,13067.0400390625,13262.1904296875,13262.1904296875,5109800,13208.807140827179,66.33750820159912,3610.3680308778494,16819.17517170503,9598.43910994933,16757.347568261583,9057.975393476163,15662.175627236487,,,,,0.273330361506948,0.273330361506948,True,True,False,False,True,False,False,-60228.125
2020-11-12,13324.8603515625,13324.8603515625,13193.740234375,13221.7802734375,13221.7802734375,3935700,13277.454991459846,68.64785063266754,3548.1145974154247,16825.56958887527,9729.340394044422,16766.275376836616,9145.83292327569,15747.106377205728,,,,,0.2672285162855078,0.2672285162855078,True,True,False,False,True,False,False,-60228.125
2020-11-13,13221.7998046875,13273.330078125,13170.1201171875,13273.330078125,13273.330078125,3526400,13290.623140335083,13.168148875236511,3483.701400030145,16774.32454036523,9806.921740304937,16767.292487305247,9229.36959812456,15819.976813641408,,,,,0.26211723583205254,0.26211723583205254,True,True,False,False,True,False,False,-60228.125
2020-11-16,13356.740234375,13551.830078125,13356.740234375,13551.830078125,13551.830078125,3858000,13427.544975966215,136.92183563113213,3471.346558362728,16898.891534328945,9956.198417603488,16783.419694087625,9318.44105367255,15884.206339004488,,,,,0.25852429201138755,0.2585242920113874,True,True,False,False,True,False,False,-60228.125
2020-11-17,13723.76953125,13780.1201171875,13593.009765625,13593.009765625,13593.009765625,4123400,13597.894073694944,170.34909772872925,3342.901878150015,16940.79595184496,10254.99219554493,16802.193145676232,9430.162464339895,15941.580514421472,,,,,0.24583967635229947,0.24583967635229934,True,True,False,False,True,False,False,-60228.125
2020-11-18,13628.419921875,13773.2900390625,13608.7197265625,13773.2900390625,13773.2900390625,4140300,13731.001543082297,133.10746938735247,3183.1564262118422,16914.157969294138,10547.845116870454,16815.235753680507,9560.359576603327,15992.97199908377,,,,,0.2318225962049739,0.23182259620497403,True,True,False,False,True,False,False,-60228.125
2020-11-19,13775.259765625,13785.919921875,13700.0400390625,13722.4296875,13722.4296875,3973800,13808.93671606481,77.9351729825139,3058.3843024869093,16867.32101855172,10750.552413577901,16821.17683505576,9696.118365853883,16038.98337885999,,,,,0.22147862397898435,0.22147862397898435,True,True,False,False,True,False,False,-60228.125
2020-11-20,13702.58984375,13726.2197265625,13666.0703125,13716.4404296875,13716.4404296875,3869400,13788.279592012987,-20.657124051824212,2985.3522571566305,16773.63184916962,10802.927334856357,16815.853851297772,9820.033139523277,16079.871298461978,,,,,0.2165137599099695,0.21651375990996935,True,True,False,False,True,False,False,-60228.125
2020-11-23,13793.5498046875,13921.16015625,13793.5498046875,13878.009765625,13878.009765625,4442800,13833.970461824909,45.69086981192231,3004.7080489747445,16838.678510799655,10829.262412850165,16818.36720678172,9931.165221404595,16116.796093877963,16940.79595184496,8410.832776758187,0.006027901011002063,0.28753747699928955,0.21719780718531184,0.2171978071853117,True,True,False,True,True,False,False,-60228.125
2020-11-24,13918.83984375,13951.169921875,13798.3203125,13807.1298828125,13807.1298828125,5153400,13875.883473977912,41.913012153003365,2961.897286256151,16837.78076023406,10913.98618772176,16820.473607228098,10037.802809790534,16150.304546894637,16940.79595184496,8410.832776758187,0.006080894422182088,0.2976106501463904,0.2134564830996695,0.21345648309966964,True,True,False,True,True,False,False,-71806.0546875
2020-11-25,13860.9501953125,13893.2001953125,13731.8095703125,13738.830078125,13738.830078125,5163800,13817.142201295123,-58.74127268278971,2922.631916545551,16739.774117840672,10894.510284749571,16811.83220313843,10129.540137175793,16180.37398581481,16940.79595184496,8410.832776758187,0.011866138673513498,0.2952950764702607,0.21152217108047153,0.21152217108047164,True,True,False,True,True,False,False,-91238.0859375
2020-11-26,13763.7900390625,13856.759765625,13763.7900390625,13845.66015625,13845.66015625,4596800,13808.273322546738,-8.868878748384304,2977.6640472659346,16785.937369812673,10830.609275280804,16809.091806417076,10203.732835902056,16207.7095432323,16940.79595184496,8410.832776758187,0.009141163288459462,0.287697611253101,0.21564347530721872,0.21564347530721872,True,True,False,True,True,False,False,-77354.1015625
2020-11-27,13833.2099609375,13885.009765625,13811.8095703125,13867.08984375,13867.08984375,4863800,13858.16269898077,49.889376434031874,2985.9738391269134,16844.136538107683,10872.188859853857,16812.76165487717,10273.732867056413,16232.920047884169,16940.79595184496,8410.832776758187,0.0057057185513618575,0.2926411864824114,0.21546679051087508,0.21546679051087508,True,True,False,True,True,False,False,-60466.015625
2020-11-30,13917.650390625,13969.3896484375,13722.8896484375,13722.8896484375,13722.8896484375,7445200,13816.476021176117,-41.6866778046533,2939.232594349321,16755.708615525436,10877.243426826795,16806.84323082816,10336.3383207073,16255.876975201929,16940.79595184496,8427.65082097697,0.010925539558214618,0.2906613785840093,0.21273388307151853,0.21273388307151866,True,True,False,True,True,False,False,-81886.1328125
2020-12-01,13810.5498046875,13885.669921875,13749.7099609375,13885.669921875,13885.669921875,6561000,13808.81156713405,-7.6644540420675185,2978.28822364295,16787.099790777,10830.523343491099,16804.812392528016,10387.170894414163,16276.989875868316,16940.79595184496,8652.564967756109,0.00907254662088191,0.2517124556534599,0.21568027119230793,0.21568027119230793,True,True,False,True,True,False,False,-49894.140625
2020-12-02,13970.509765625,13995.7001953125,13894.7001953125,13989.1396484375,13989.1396484375,6589100,13922.246883129083,113.4353159950333,2985.469518253377,16907.71640138246,10936.777364875707,16815.31716381673,10443.27648578293,16296.927923570109,16940.79595184496,8924.778101515501,0.001952656212643864,0.22543969614421572,0.21443877150829402,0.21443877150829402,True,True,False,True,True,False,False,-46298.046875
2020-12-03,13988.490234375,14049.580078125,13940.0703125,13977.08984375,13977.08984375,6081000,13994.391403454945,72.14452032586269,2879.203878253064,16873.59528170801,11115.187525201882,16821.225934817427,10511.40099989601,16315.652852543226,16940.79595184496,9123.762698398608,0.003966795322248804,0.21826793315797285,0.20573984214434973,0.2057398421443496,True,True,False,True,True,False,False,-41962.109375
