,a,p,q,num_vol,rolling,distance_threshold,retrace_threshold,offset_threshold,duration,average_holding_duration,profit,return,max_drawDown,caimar_ratio,trade_times,win_rate,profit_factor,sharp_ratio
24,0.1,1,1,1,20,0.01,0.06999999999999999,0.05500000000000001,361,56.25,346792.1875,0.34679218749999996,0.20238619301980076,1.71351702567018,4,0.75,4.581458300135749,0.05928201630311886
25,0.1,1,1,1,20,0.01,0.06999999999999999,0.07,361,122.5,701618.1640625,0.7016181640625001,0.1362116442249841,5.150941155248227,2,0.5,,0.11615637935332127
26,0.1,1,1,1,20,0.01,0.06999999999999999,0.085,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
27,0.1,1,1,1,20,0.01,0.06999999999999999,0.1,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
28,0.1,1,1,1,20,0.01,0.08999999999999998,0.01,361,6.380952380952381,119018.359375,0.11901835937500005,0.20247624079998283,0.5878139524161402,21,0.47619047619047616,1.2537218849667324,0.03021676332004662
29,0.1,1,1,1,20,0.01,0.08999999999999998,0.025,361,12.916666666666666,-141539.453125,-0.14153945312500005,0.34350579286216143,-0.4120438608783392,12,0.4166666666666667,0.7553664918373016,-0.025375364335818523
30,0.1,1,1,1,20,0.01,0.08999999999999998,0.04,361,54.5,459634.1796875,0.4596341796875001,0.16114603438666253,2.852283529265318,4,0.75,5.746821604416573,0.08011555925111515
31,0.1,1,1,1,20,0.01,0.08999999999999998,0.05500000000000001,361,57.0,295758.203125,0.2957582031249999,0.21609386942761255,1.3686561488690145,4,0.75,3.4233746489241677,0.05080495096051075
32,0.1,1,1,1,20,0.01,0.08999999999999998,0.07,361,122.0,661226.171875,0.6612261718750001,0.14021964863275926,4.7156456197289245,2,0.5,,0.1099988909864107
33,0.1,1,1,1,20,0.01,0.08999999999999998,0.085,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
34,0.1,1,1,1,20,0.01,0.08999999999999998,0.1,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
35,0.1,1,1,1,20,0.01,0.10999999999999997,0.01,361,6.285714285714286,37606.25,0.03760625000000006,0.21494803405405305,0.17495507770284238,21,0.42857142857142855,1.0756921100457233,0.013400902561706406
36,0.1,1,1,1,20,0.01,0.10999999999999997,0.025,361,12.833333333333334,-254599.609375,-0.25459960937500004,0.4078144381277846,-0.6243025885592206,12,0.3333333333333333,0.5945824483792784,-0.04855527554274721
37,0.1,1,1,1,20,0.01,0.10999999999999997,0.04,361,54.0,378222.0703125,0.3782220703125001,0.19040338941986557,1.986425091826851,4,0.75,4.906046969455533,0.06683379994552924
38,0.1,1,1,1,20,0.01,0.10999999999999997,0.05500000000000001,361,56.5,214346.09375,0.2143460937499999,0.2665400813376029,0.8041795915808496,4,0.5,2.4548698845332946,0.03746800292083452
39,0.1,1,1,1,20,0.01,0.10999999999999997,0.07,361,121.5,612310.15625,0.61231015625,0.16577570143528986,3.693606185638815,2,0.5,,0.10261783026917708
40,0.1,1,1,1,20,0.01,0.10999999999999997,0.085,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
41,0.1,1,1,1,20,0.01,0.10999999999999997,0.1,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
