Date,open,high,low,close,adj_close,volume,llt,llt_slope,garch_volitility,bolinger_upper,bolinger_lower,bolinger_upper_smooth,bolinger_lower_smooth,peak,upper_change,lower_change,middle,upper_max,lower_min,upper_retrace,lower_retrace,upper_deviation,lower_deviation,upper_rise,lower_down,upper_down,lower_rise,Bull,Bear,position,buy,sell,sellshort,buytocover,buy_price,sell_price,short_price,buytocover_price,buy_time,sell_time,sellshort_time,buytocover_time,hold_duration,profit_list,profit_fee_list,profit_fee_list_realized,strategy_ret
2019-01-18,9781.3896484375,9842.7998046875,9771.150390625,9836.0595703125,9836.0595703125,1545600,9819.520094264322,34.47906950522338,718.7333731036623,10538.253467367984,9100.78672116066,10512.023205195475,8904.979865431942,False,3.94943707821767,29.482238915421476,10301.591020762875,,,,,0.022973387909509837,0.1165649361522886,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,-26271.875
2019-01-21,9870.26953125,9919.9404296875,9870.26953125,9889.400390625,9889.400390625,1593600,9875.395738450083,55.87564418576039,685.0996027324353,10560.495341182517,9190.296135717648,10518.148253689527,8941.033073240016,False,6.125048494051953,36.05320780807415,10317.05939454335,,,,,0.02359547787113829,0.10921360590612111,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,-26271.875
2019-01-22,9880.5400390625,9894.66015625,9855.4697265625,9894.66015625,9894.66015625,1408000,9908.78991608545,33.39417763536767,630.6188949554278,10539.408811040877,9278.171021130023,10520.753693565182,8982.34867181597,False,2.6054398756550654,41.31559857595312,10330.639014478138,,,,,0.020208797952397103,0.10187830509546472,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,-26271.875
2019-01-23,9869.5400390625,9873.3896484375,9828.0302734375,9846.400390625,9846.400390625,1140300,9882.391628827025,-26.398287258425626,598.076195027635,10480.46782385466,9284.31543379939,10515.947982491014,9018.370359383389,False,4.805711074168357,36.021687567419576,10342.220824978944,,,,,0.013367244928847095,0.1022899635467519,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,-26271.875
2019-01-24,9865.0,9892.8203125,9847.3203125,9877.1201171875,9877.1201171875,1452000,9864.598057221145,-17.79357160588006,623.8001738475476,10488.398231068692,9240.797883373598,10512.738754835345,9044.28059539346,False,3.2092276556686556,25.910236010071458,10352.251291441084,,,,,0.013151433035649931,0.10736344943504227,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,-26271.875
2019-01-25,9923.3896484375,9980.080078125,9918.2099609375,9969.6103515625,9969.6103515625,1944600,9928.29179528423,63.69373806308613,641.1443021640847,10569.436097448315,9287.147493120146,10519.205910700966,9071.983094484469,False,6.467155865620953,27.702499091008576,10361.526548066635,,,,,0.02006553266231551,0.10368926334961305,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,-26271.875
2019-01-28,10006.4599609375,10020.599609375,9990.0703125,10013.330078125,10013.330078125,1656900,10008.16210369816,79.8703084139288,579.0788542366633,10587.240957934822,9429.083249461497,10526.822895849873,9111.962879723438,False,7.616985148906679,39.97978523896927,10370.2263558447,,,,,0.020926698670160913,0.09075434557441174,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,-26271.875
2019-01-29,9944.7099609375,9952.33984375,9893.9599609375,9931.58984375,9931.58984375,1647200,9990.196479497446,-17.965624200713137,501.3453863322247,10491.541865829671,9488.851093165222,10522.937897246793,9153.464224267524,False,3.884998603080021,41.50134454408544,10377.861932914802,10608.391168321725,8393.203499588426,0.011014799571209571,0.1305398580685578,0.010954080296088497,0.08566416141363006,False,False,False,True,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,-26271.875
2019-01-30,9915.9697265625,9959.0302734375,9909.8095703125,9932.259765625,9932.259765625,1981800,9936.369360074093,-53.827119423353,518.8189737072754,10455.188333781369,9417.550386366818,10515.586965276725,9182.117979546976,False,7.350931970067904,28.653755279452525,10384.42026778918,10608.391168321725,8393.203499588426,0.014441665292079634,0.12204480527948866,0.006814830695142344,0.09310773798528157,False,False,False,True,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,-26271.875
2019-02-11,10029.83984375,10065.51953125,9988.830078125,10004.25,10004.25,2320500,9967.452085852488,31.082725778394888,571.212002830979,10538.664088683467,9396.24008302151,10518.05809303848,9205.04644705895,False,2.4711277617552696,22.928467511974304,10390.494714391421,10608.391168321725,8393.203499588426,0.006572823204943069,0.1195058100857759,0.014260088510205604,0.09568886359114476,False,False,False,True,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,-26271.875
2019-02-12,10032.080078125,10100.23046875,10032.080078125,10097.740234375,10097.740234375,2264900,10061.682331651728,94.23024579923913,540.9505989282541,10602.63293057998,9520.731732723474,10527.008473393977,9238.454768747351,False,8.950380355496236,33.408321688400974,10396.43009521762,10608.391168321725,8393.203499588426,0.000542800284263541,0.13433824560435575,0.019834003929600285,0.08423067865352829,False,False,False,True,True,False,1.0,22.0,0.0,0.0,0.0,10032.080078125,0.0,0.0,0.0,2019-02-12,,,,,18306.0546875,18306.0546875,0.0,-7965.8203125
2019-02-13,10123.6103515625,10140.98046875,10074.33984375,10090.580078125,10090.580078125,2455200,10115.706124930293,54.02379327856579,449.3414354667842,10565.047560397077,9666.36468946351,10530.99188767987,9283.26505799317,False,3.98341428589265,44.81028924581915,10402.036836570214,10608.391168321725,8553.381939518238,0.004085785227648677,0.13012195150588107,0.015671038892476293,0.07072385520884894,False,False,False,True,True,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,-5524.0234375,-5524.0234375,0.0,-13489.84375
2019-02-14,10095.990234375,10135.6201171875,10082.0,10089.009765625,10089.009765625,2140200,10108.468218913711,-7.237906016582201,396.94839311736,10505.416612031071,9711.519825796351,10528.338824351782,9327.690269089186,False,2.653063328087228,44.42521109601512,10407.088916081477,10602.63293057998,8755.470846391006,0.00916907330334145,0.10919446779945899,0.009448146041844048,0.06683608604614713,False,False,False,True,True,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3037.890625,3037.890625,0.0,-10451.953125
2019-02-15,10111.1796875,10135.16015625,10055.5,10064.7802734375,10064.7802734375,2137700,10085.647338751067,-22.820880162644244,403.9605693978859,10489.607908148953,9681.68676935318,10524.354907272456,9364.102852154281,False,3.9839170793256926,36.41258306509553,10411.599146511899,10602.63293057998,8933.26773334635,0.010660090108848547,0.08377886551111753,0.007492486076280535,0.07010569336058756,False,False,False,True,True,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,-2847.8515625,-2847.8515625,0.0,-13299.8046875
2019-02-18,10096.9404296875,10165.76953125,10096.9404296875,10145.2802734375,10145.2802734375,1911900,10109.786183751201,24.138845000134097,426.085213751764,10535.871397502964,9683.700969999438,10525.530547534356,9396.728453135633,False,1.1756402618993889,32.625600981351454,10415.818828031248,10602.63293057998,9015.755985996504,0.006296693803712097,0.07408640884251998,0.011525984798106171,0.0702890353719979,False,False,False,True,True,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,11033.984375,11033.984375,0.0,-2265.8203125
2019-02-19,10152.1103515625,10173.4697265625,10143.150390625,10152.259765625,10152.259765625,1765600,10158.355468715748,48.56928496454748,402.68352180937546,10561.038990525123,9755.671946906374,10529.130719705585,9433.121442196103,False,3.600172171229133,36.39298906047043,10419.865681305333,10602.63293057998,9015.755985996504,0.00392298218067071,0.08206920884495161,0.01354847687461791,0.06374302267548554,False,False,False,True,True,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,5966.015625,5966.015625,0.0,3700.1953125
2019-02-20,10181.9404296875,10272.4599609375,10181.9404296875,10272.4599609375,10272.4599609375,2246700,10229.488796226266,71.13332751051712,355.6866919022337,10585.1754881285,9873.802104324031,10534.77831434548,9477.528544149996,False,5.647594639895033,44.40710195389329,10423.828185892922,10602.63293057998,9015.755985996504,0.0016465195546976562,0.09517184356589353,0.015478699318349918,0.05276622674127227,False,False,False,True,True,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,20075.9765625,20075.9765625,0.0,23776.171875
2019-02-21,10282.3203125,10319.5302734375,10256.5302734375,10319.5302734375,10319.5302734375,2282400,10322.023537367464,92.53474114119854,287.17577466308893,10609.199312030552,10034.847762704376,10542.2364169503,9533.380307024847,False,7.458102604819942,55.851762874850465,10427.775126928169,10609.199312030552,9058.974903218439,0.0,0.10772442466301924,0.017398168151313762,0.0376808436546658,False,False,False,True,True,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,5339.84375,5339.84375,0.0,29116.015625
2019-02-22,10309.01953125,10322.919921875,10269.9501953125,10322.919921875,10322.919921875,2188700,10349.831176866577,27.807639499113066,199.20396587924756,10549.035142745824,10150.62721098733,10542.91437730275,9594.931388969393,False,0.6779603524500999,61.55108194454624,10431.48929629509,10609.199312030552,9076.143071483202,0.00567094344400744,0.11838554450294027,0.011268366683986534,0.026924447442755232,False,False,False,True,True,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6886.1328125,6886.1328125,0.0,36002.1484375
2019-02-25,10343.4501953125,10390.9296875,10343.4501953125,10390.9296875,10390.9296875,2325300,10380.01960026913,30.18842340255287,173.2899301835021,10553.309530452632,10206.729670085628,10543.946344972348,9655.667006552412,False,1.0319676695980888,60.73561758301912,10435.003579066255,10609.199312030552,9100.78672116066,0.0052680489765653225,0.12152168629042671,0.01133741358974824,0.02187578636183407,False,False,False,True,True,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,11916.015625,11916.015625,0.0,47918.1640625
2019-02-26,10403.0302734375,10416.91015625,10368.8603515625,10391.5498046875,10391.5498046875,2295000,10411.320523458759,31.30092318962852,145.6953106410987,10557.015834099857,10265.62521281766,10545.238589195571,9715.976553525801,False,1.2922442232229514,60.30954697338893,10438.34403391866,10609.199312030552,9190.296135717648,0.0049187008742046,0.11700701057072543,0.01136883396404461,0.0165465729563772,False,False,False,True,True,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,-3444.140625,-3444.140625,0.0,44474.0234375
2019-02-27,10385.8095703125,10403.0498046875,10343.5595703125,10389.169921875,10389.169921875,2510800,10405.712785700662,-5.607737758096846,118.0846320441936,10523.797417744856,10287.628153656467,10543.126277882937,9772.293725589694,False,2.1123113126341195,56.31717206389294,10441.425864623492,10609.199312030552,9240.797883373598,0.00804979638650515,0.11328353714632881,0.007888918064384885,0.014729569788749385,False,False,False,True,True,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,-111.9140625,-111.9140625,0.0,44362.109375
2019-03-04,10385.25,10402.3896484375,10313.1796875,10349.8798828125,10349.8798828125,2273800,10375.855164382388,-29.85762131827323,122.92596009883987,10498.78112448123,10252.929204283548,10538.771820250993,9819.489567025224,False,4.35445763194366,47.19584143553038,10444.20717764142,10609.199312030552,9240.797883373598,0.01040777765614337,0.1095285638409012,0.005225283825912567,0.018314264558764476,False,False,False,True,True,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,-12400.0,-12400.0,0.0,31962.109375
2019-03-05,10323.25,10334.33984375,10295.4404296875,10305.259765625,10305.259765625,1773500,10323.84447875098,-52.010685631408705,149.45760490166597,10473.302083652647,10174.386873849313,10532.361992302744,9854.23586041564,False,6.4098279482495855,34.7462933904153,10446.655922493122,10609.199312030552,9240.797883373598,0.012809376502504001,0.10102904557142892,0.0025506881204109717,0.026062794703286433,False,False,False,True,True,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,985.9375,985.9375,0.0,32948.046875
2019-03-06,10328.1796875,10359.1201171875,10327.900390625,10357.150390625,10357.150390625,1865800,10323.005010911695,-0.8394678392851347,197.49631588807608,10520.501326799771,10125.508695023618,10531.20386028612,9880.724235365687,False,1.1581320166242222,26.488374950047728,10448.941001892934,10609.199312030552,9287.147493120146,0.00836047873379098,0.09027111957945363,0.006848572012596616,0.0309535968105019,False,False,False,True,True,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6258.0078125,6258.0078125,0.0,39206.0546875
2019-03-07,10359.4697265625,10367.98046875,10299.4599609375,10311.6796875,10311.6796875,2007700,10329.861549469706,6.85653855801138,198.28339266273616,10528.144942132441,10131.57815680697,10530.905890029726,9905.160001062604,False,0.2979702563934552,24.43576569691686,10451.097972633375,10609.199312030552,9396.24008302151,0.007640008214964671,0.07825875746982838,0.007372141156921189,0.030572846667697533,False,False,False,True,True,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,-17037.890625,-17037.890625,0.0,22168.1640625
2019-03-08,10274.2802734375,10274.2802734375,10204.2099609375,10241.75,10241.75,1780600,10269.804237149532,-60.05731232017388,191.86323735712642,10461.66747450666,10077.940999792405,10524.17597148306,9921.954175785966,False,6.729918546665431,16.79417472336172,10452.971767475674,10609.199312030552,9396.24008302151,0.013906029398146552,0.07255039364124921,0.0008318885025636484,0.0358779087924234,False,False,False,True,True,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,-10002.1484375,-10002.1484375,0.0,12166.015625
2019-03-11,10224.26953125,10269.2998046875,10214.01953125,10250.2802734375,10250.2802734375,1774800,10231.942641648735,-37.86159550079719,248.6196935990067,10480.562335247741,9983.322948049728,10519.945058225294,9927.907496228743,False,4.230913257766588,5.9533204427771125,10454.646099744416,10609.199312030552,9396.24008302151,0.012125041013881229,0.06248061563359208,0.002478920401137199,0.04508265006753404,False,False,False,True,True,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,14020.1171875,14020.1171875,0.0,26186.1328125
2019-03-12,10294.3701171875,10382.1201171875,10294.3701171875,10343.330078125,10343.330078125,1970500,10288.547880396265,56.605238747530166,284.82196787544297,10573.369848271708,10003.725912520822,10525.118579678821,9935.249559771135,False,5.173521453527428,7.34206354239177,10456.364940718426,10609.199312030552,9396.24008302151,0.003377207148725592,0.06465201230830675,0.011189826313124396,0.043288373231405615,False,False,False,True,True,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,7379.8828125,7379.8828125,0.0,33566.015625
2019-03-13,10331.26953125,10373.3203125,10331.26953125,10373.3203125,10373.3203125,1810600,10365.950650707642,77.40277031137703,230.79766136982317,10596.748312077465,10135.15298933782,10532.04394542552,9954.576790481196,False,6.925365746697935,19.327230710061485,10458.166821782881,10609.199312030552,9520.731732723474,0.0011736041134572965,0.06453508762383597,0.013251030764391554,0.03088627652910161,False,False,False,True,True,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,12006.0546875,12006.0546875,0.0,45572.0703125
2019-03-14,10391.2998046875,10407.26953125,10339.6396484375,10348.650390625,10348.650390625,2101900,10375.106980283526,9.156329575884229,158.46796824185256,10533.574948525378,10216.639012041675,10532.191753604115,9979.87715705203,False,0.1478081785953691,25.30036657083292,10459.888331825234,10609.199312030552,9666.36468946351,0.00712818764931847,0.05692670825651476,0.0070446848343443304,0.02325544136484224,False,False,False,True,True,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,-3327.9296875,-3327.9296875,0.0,42244.140625
2019-03-15,10374.66015625,10439.240234375,10370.0,10439.240234375,10439.240234375,2821000,10406.14739999264,31.04041970911385,150.13527385947586,10556.282673852116,10256.012126133164,10534.514540070275,10006.50140230344,False,2.3227864661603235,26.624245251410684,10461.584382012621,10609.199312030552,9681.68676935318,0.004987806960929664,0.059320795070336045,0.009052002868926523,0.019650202911225618,False,False,False,True,True,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,16106.0546875,16106.0546875,0.0,58350.1953125
2019-03-18,10455.1904296875,10512.7001953125,10445.740234375,10512.7001953125,10512.7001953125,2211800,10494.099081868124,87.9516818754837,122.54879534253737,10616.647877210662,10371.550286525586,10542.42430279484,10041.657042602443,False,7.909762724564644,35.1556402990027,10463.380824696671,10616.647877210662,9681.68676935318,0.0,0.07125447596137158,0.0146479474542526,0.008776373498165908,False,False,False,True,True,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8441.9921875,8441.9921875,0.0,66792.1875
2019-03-19,10497.400390625,10525.599609375,10484.6904296875,10512.3203125,10512.3203125,2284300,10536.996684109368,42.897602241244385,61.057966637578986,10598.054650746948,10475.938717471789,10547.776019623241,10083.43554360455,False,5.35171682840155,41.77850100210708,10465.21550284725,10616.647877210662,9683.700969999438,0.0017513274132059716,0.0818114633988328,0.012693398226109815,0.0010246530156613877,False,False,False,True,True,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6379.8828125,6379.8828125,0.0,73172.0703125
2019-03-20,10529.2998046875,10556.8095703125,10506.9599609375,10551.5595703125,10551.5595703125,2260000,10553.060195888726,16.063511779357214,59.982046289617934,10613.042242178344,10493.078149599107,10554.048678564583,10122.805806730725,False,6.272658941341433,39.370263126174905,10467.105570415702,10616.647877210662,9755.671946906374,0.0003396208552849918,0.0755874333112003,0.0139424094637125,0.002481352558133497,False,False,False,True,True,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6925.9765625,6925.9765625,0.0,80098.046875
