Date,Bull,Bear,Consolidation,position,buy,sell,sellshort,buytocover,buy_price,sell_price,short_price,buytocover_price,buy_time,sell_time,sellshort_time,buytocover_time,hold_duration,profit_list,profit_fee_list,profit_fee_list_realized
2019-01-22,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2019-01-23,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2019-01-24,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2019-01-25,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2019-01-28,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2019-01-29,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2019-01-30,True,False,False,1.0,20.0,0.0,0.0,0.0,9915.9697265625,0.0,0.0,0.0,2019-01-30,,,,,22774.0234375,22774.0234375,0.0
2019-02-11,True,False,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,448.046875,448.046875,0.0
2019-02-12,True,False,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,18306.0546875,18306.0546875,0.0
2019-02-13,True,False,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,-5524.0234375,-5524.0234375,0.0
2019-02-14,True,False,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3037.890625,3037.890625,0.0
2019-02-15,True,False,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,-2847.8515625,-2847.8515625,0.0
2019-02-18,True,False,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,11033.984375,11033.984375,0.0
2019-02-19,True,False,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,5966.015625,5966.015625,0.0
2019-02-20,False,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,20075.9765625,20075.9765625,0.0
2019-02-21,False,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,5339.84375,5339.84375,0.0
2019-02-22,False,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6886.1328125,6886.1328125,0.0
2019-02-25,False,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,11916.015625,11916.015625,0.0
2019-02-26,False,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,-3444.140625,-3444.140625,0.0
2019-02-27,False,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,-111.9140625,-111.9140625,0.0
